title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
Wind,Gwendolyn B. Bennett,Bennett,"The wind was a care-free soul 
    That broke the chains of...",November,1924,Opportunity,Charles S. Johnson,,female,,,New York,Predom. Black,
They,Matthew Bennett,Bennett,"""They jest at scars who never felt a wound,""
They speak of love who never sensed...",November,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Common Measure,male,Lynching and Racialized Violence,,New York,Predom. Black,
Hope,Arna Bontemps,Bontemps,"Lone and dismal; hushed and dark,
Upon the waves floats and empty bark.

The stars go out;...",August,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,,,New York,Predom. Black,
Africa,B.B. Church,Church,"As gleams the evening star
Upon the brow of night,
When light of day has trailed
Its master's...",July,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,,Africa,,New York,Predom. Black,
Discovery,Leathe Colvert,Colvert,"I have found thee in the soft shadows of twilight
When the stars blink sleepily
At the...",June,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,female,Labor,,New York,Predom. Black,
Drones,Leathe Colvert,Colvert,"Streams of them pour out incessantly
From dismal hovels;
Blank expressioned, mutely pleading
For strength to bear their...",May,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,female,Labor,,New York,Predom. Black,
Ternebre,Leathe Colvert,Colvert,"The trees are sighing and swaying
In mournful rhythm
To the moaning melodies
Of the comfortless wind.
Low and...",April,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,female,Lynching and Racialized Violence,,New York,Predom. Black,
Night,Leathe Colvert,Colvert,"O, fathomless pall that enshrouds me,
O, infinite power that binds me.
I cannot escape thee,
O night,...",December,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,female,,,New York,Predom. Black,
Question,Leathe Colvert,Colvert,"I wonder if the stars ever tire of
Watching broken-hearted beings,
Crushed flowers or weeping children,
Or does...",April,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,female,,,New York,Predom. Black,
Weary,Leathe Colvert,Colvert,"I no longer crave for beauty,
What there was in me that craved is dead.
And now...",July,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,female,,,New York,Predom. Black,
Tom,Leathe Colvert,Colvert,"Your smile is like a misty day,
Mysterious, enchanting, alluring.
Your voice is like a gentle rain,
Refreshing,...",April,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Quatrain,female,,,New York,Predom. Black,
A Rainy Day,Leathe Colvert,Colvert,"A rainy day is an eerie day
When elfins skip blithely o'er puddles and pools,
But mere...",June,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,Labor,,New York,Predom. Black,
Pagan Prayer,Countee Cullen,Cullen,"Not for myself I make this prayer,
   But for this race of mine
That...",March,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,male,"Religion, Race",Color,New York,Predom. Black,
A Song of Praise (For one who praised his lady's being fair),Countee Cullen,Cullen,"You have not heard my love's dark throat,
   Slow-fluting like a reed,
Release the...",September,1924,Opportunity,Charles S. Johnson,Quatrain,male,Race,Color ,New York,Predom. Black,
"Mary, Mother of Christ",Countee Cullen,Cullen,"That night she felt those searching hands
Grip deep upon her breast,
She laughed and sang a...",March,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,,"Queer-Homoerotic, Religion",New York,Predom. Black,
Brown Boy to Brown Girl (Remembrance on a hill) (For Yolanda),Countee Cullen,Cullen,"Surely as I hold your in mine,
As surely as your crinkled hair belies
The enamoured sun...",September,1924,Opportunity,Charles S. Johnson,Sonnet,male,,,New York,Predom. Black,
I Have a Rendezvous With Life,Countee Cullen,Cullen,"I have a rendezvous with Life,
In days I hope will come,
Ere youth has sped, and...",January ,1924,Opportunity,Charles S. Johnson,,male,,,New York,Predom. Black,
The Right to Die,Paul Laurence Dunbar,Dunbar,"I have no fancy for that ancient cant
That makes us masters of our destinies,
And not...",June,1924,Opportunity,Charles S. Johnson,Free Verse,male,,Lyrics of the Hearthside (1899),New York,Predom. Black,
Rain Fugue,Jessie Fauset,Fauset,"Slanting, driving, Summer rain
How you wash my heart of pain!
How you make me think of...",August,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Ballade,female,,,New York,Predom. Black,
Here's April,Jessie Fauset,Fauset,"This town that yesterday was dark and mean,
   And dank and raw with Winter's freezing...",April,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,,,New York,Predom. Black,
Rencontre,Jessie Fauset,Fauset,"My heart that was so passionless
Leapt high last night when I saw you!
Within me surged...",January,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,,,New York,Predom. Black,
Futility,Ottie Graham,Graham,"If I were a doe in a forest deep,
I could lift my soft brown eyes...",May,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,,,New York,Predom. Black,
Dusk,Angelina W. Grimke,Grimke,"Twin stars through my purpling pane,
The shriveling husk
Of a yellowing moon on the wane,—",April,1924,Opportunity,Charles S. Johnson,Tercet,female,,,New York,Predom. Black,
I Weep,Angelina W. Grimke,Grimke,"— — I weep — —
Not as the young do noisily,
Not as the aged rustily,
But...",July,1924,Opportunity,Charles S. Johnson,,female,,,New York,Predom. Black,
Little Grey Dreams,Angelina W. Grimke,Grimke,"Little grey dreams,
I sit at the ocean’s edge,
At the grey ocean’s edge, 
With you in...",January,1924,Opportunity,Charles S. Johnson,,female,,,New York,Predom. Black,
Child of the Night,Walter Everett Hawkins,Hawkins,"Child of the Night am I-
Night's sable son;
When the elf-children came,
   Lo! I was one.

Darkness...",April,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,"Race: Black Identity, Religion",,New York,Predom. Black,
Dreamer,Will H. Hendrickson,Hendrickson,"Because my face is brown
   They say I may not dream
Of triumph and...",December,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Common Measure,male,Progress and Racial Uplift,,New York,Predom. Black,
Alas,Thomas Millard Henry,Henry,"My loftier songs may never see the light,
Though fine as what some pompous bard can...",June,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Sonnet,male,Intertext,,New York,Predom. Black,
Countee Cullen,Thomas Millard Henry,Henry,"On Pegasus you've flown into a sheen —
A glorious passion has possessed your tongue.
You moved...",October,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Sonnet,male,Intertext,,New York,Predom. Black,
Three Poems,Thomas Millard Henry,Henry,"The Song of Psyche

Hark this message I bring, in this carol I sing,
From a song...",January,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,male,Labor,,New York,Predom. Black,
Dream Variation,Langston Hughes,Hughes,"To fling my arms wide
In some place of the sun,
To whirl and to dance
Till the...",July,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,male,"Dance, Race: Black Identity","Survey Graphic, The New Negro, The Weary Blues",New York,Predom. Black,
The White Ones,Langston Hughes,Hughes,"I do not hate you,
For your faces are beautiful, too.
I do not hate you,
Your faces...",March,1924,Opportunity,Charles S. Johnson,,male,"Interracial, Racism",The Weary Blues (1926),New York,Predom. Black,
Grant Park,Langston Hughes,Hughes,"The haunting face of poverty,
The hands of pain,
The rough, gargantuan feet of fate,
The nails of...",March,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,male,,,New York,Predom. Black,
Prayer for a Winter Night,Langston Hughes,Hughes,"O, Great God of Cold and Winter,
Wrap the earth about in an icy blanket
And freeze...",May,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,male,,,New York,Predom. Black,
Brothers,Langston Hughes,Hughes,"We are related--you and I.
You from the West Indies,
I from Kentucky.
We are related--you and I.
You...",February,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse ,male,"Africa, Caribbean",,New York,Predom. Black,
Fascination,Langston Hughes,Hughes,"Her teeth are as white as the meat of an apple,
Her lips are like dark...",June,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse ,male,Race,,New York,Predom. Black,
My Beloved,Langston Hughes,Hughes,"Shall I make a record of your beauty?
Shall I write words about you?
Shall make a...",March,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse ,male,,,New York,Predom. Black,
Poem,Langston Hughes,Hughes,"I am waiting for my mother.
She is Death.
Say it very softly.
Say it very slowly if...",August,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse ,male,,,New York,Predom. Black,
Song for a Suicide,Langston Hughes,Hughes,"Oh, the sea is deep
And a knife is sharp
And a poison acid burns;
But they all...",May,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Octave,male,,,New York,Predom. Black,
Gods,Langston Hughes,Hughes,"The ivory gods,
And the ebony gods,
And the gods of diamond and jade,
Sit silently on their...",March,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,male,Religion,,New York,Predom. Black,
Paradox,Georgia Douglas Johnson,Johnson,"I know you love me better, cold—
Strange as the pyramids of old,
Responselessly;
But I am frail,...",July,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Free Verse,female,,,New York,Predom. Black,
To Your Eyes,Georgia Douglas Johnson,Johnson,"In your deep autumnal eyes
Mystery's dark shadow lies,
None may pass unchallenged there,
Something vestal,
Something rare
Stays the...",November,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Octave,female,,,New York,Predom. Black,
" ""My Son"" ",Georgia Douglas Johnson,Johnson,"Stronger than man-made bars, the chain,
that round your life's arean,
Deeper than hell the anchor sweeps
That...",November,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,female,"Motherhood, Race",,New York,Predom. Black,
Africa,Georgia Douglas Johnson,Johnson,"O what a privilege to be—
Breath of The Breath Eternal ;
To have the life,
To have...",April,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,Africa,,New York,Predom. Black,
Lesson,Georgia Douglas Johnson,Johnson,"I've learned of life this bitter truth:
Hope not between the crumbling walls
Of mankind's gratitude to...",November,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,,,New York,Predom. Black,
Pilgrimage,Georgia Douglas Johnson,Johnson,"Lend me a candle by whose light
I may discern the road
Which winds into that magic...",November,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,,,New York,Predom. Black,
Romance,Georgia Douglas Johnson,Johnson,"When I was young I used to say
Romance will come riding by,
And I shall surely...",November,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,,,New York,Predom. Black,
Your Voice Keeps Ringing Down the Day,Georgia Douglas Johnson,Johnson,"Your voice keeps ringing down the day
In accents soft and mild
With which you have beguiled
And...",July,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,,,New York,Predom. Black,
True Wealth,Charles Bertram Johnson,Johnson,"What though no castles grand
In somber grandeur stand
Entitled with my name;
What though uncrowned by fame
I...",April,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Octave,male,,,New York,Predom. Black,
The Messenger,Ann Lawrence,Lawrence,"We are the Messenger,
Our message brings you cheer ;
Faint not, the goal's in sight,
Your Victory...",March,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,Progress and Racial Uplift,,New York,Predom. Black,
Nature,Ann Lawrence,Lawrence,"Hark! 'tis the whispering pine trees,
They sigh as the pine burrs fall,
List! To the woodland...",May,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,Religion,,New York,Predom. Black,
Procrastination,Ann Lawrence,Lawrence,"Why wait for tomorrow
To shed sun shine on the way?
Why wait to lighten sorrows,
For the...",October,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,,,New York,Predom. Black,
The Void,Claude McKay,McKay,"He crouches strangely in the little bed
And earnestly stares blankly into space,
Reason forever more from...",June,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,female,,,New York,Predom. Black,
"Up, Sons of Freedom!",William Pickens,Pickens,"Ye sons of freedom, up, to battle!
We go to war against the wrong;
No longer we...",January,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,male,Progress and Racial Uplift,,New York,Predom. Black,
Exile,Inez M. Richardson,Richardson,"My lonely heart and I,
Waited for Spring,
By the side of the road,
And Spring passed by.
We...",May,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,,,New York,Predom. Black,
Thoughts of Someone,Inez M. Richardson,Richardson,"From my safe place on the sands,
I watched a lone canoe,
Drifting helplessly in a bit;...",July,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,,,New York,Predom. Black,
After Reading Bryant's Lines to a Waterfowl,Eloise Bibb Thompson,Thompson,"No forward soul, ambition stung,
And sunk in carnal bliss,
E'er dreamed a dream so fraught with...",March,1924,Opportunity,Charles S. Johnson,Quatrain,female,,,New York,Predom. Black,
God,Blanche Watson,Watson,"Who sees God as ""white""
Sees God not at all ;
'Twixt they and He
Self reareth a...",October,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,female,"Religion, Race",,New York,Predom. Black,
The First Wireless Message,James A. Atkins,Atkins,"Long ere your winged caravels grand
Touched my sunny Afric strand,
Bringing Bibles, beads and rum.
Enslaved my...",July,1925,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Common Measure,male,"Africa, Race",,New York,Predom. Black,
Moonlight,Herschell Bek,Beck,"This is the same moon
that shone down
upon the head of Jesus
praying in the hushed solitudes
of...",April,1925,Opportunity,Charles S. Johnson,Free Verse,male,Religion,,New York,Predom. Black,
Purgation,Gwendolyn B. Bennett,Bennett,"You lived
and your body
Clothed the flames of earth.
Now that the fires have burned away
And left...",February,1925,Opportunity,Charles S. Johnson,,female,,,New York,Predom. Black,
Spring Music,Arna Bontemps,Bontemps,"Oh the brown leaves
   Fall in the bitter blast like tears
From an aged widow. ....",June,1925,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,,Horizon,New York,Predom. Black,
God Give to Men,Arna Bontemps,Bontemps,"God give the yellow man
An easy breeze at blossom time.
Grant his eager, slanting eyes to...",June,1925,Opportunity,Charles S. Johnson,Free Verse,male,Race,,New York,Predom. Black,
The Memory of Colonel Charles Denton Young,Harriette Shadow Butcher,Butcher,"With satin skin and body bare, they beat the air with drum;
They sang a weird,...",April,1925,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Elegy,female,"Racism, Slavery, War",,New York,Predom. Black,
The Colorist,Anita Scott Coleman,Coleman,"God is an Indian--He loves gay color so . . . 
Red, yellow, purple, oranges and...",May,1925,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free Verse,female,Religion,,New York,Predom. Black,
The Wayside Well,Joseph S. Cotter,Cotter,"A FANCY halts my feet at the way-side well.
It is not to drink, for they...",June,1925,Opportunity,Charles S. Johnson,Free Verse,male,,Caroling Dusk,New York,Predom. Black,
